state,year,pop,pct_male,pct_white,pct_black,pct_hispanic,pct_other,avg_age,avg_age_adult,pct_00_17,pct_18_34,pct_35_64,pct_65_00
Alabama,1980,3893888,0.48063375217777193,0.7331795367509286,0.25272016041550244,0.008711858173630058,0.005388444659938858,33.49913492632557,43.76648808042055,0.29848007955031064,0.2860264599289964,0.3024920079879031,0.11300145253278984
Alaska,1980,401851,0.530149234417732,0.7637134161666886,0.033676661250065326,0.022538204458866593,0.18007171812437944,27.62726234350543,36.674037092502566,0.32535691089483415,0.3747184901866612,0.2711900679605127,0.028734530957991892
Arizona,1980,2718215,0.49221345625713936,0.7463445680345374,0.026638805245354027,0.16338001225068657,0.06363661446942202,33.467881127872516,43.43405919257933,0.2911789538355134,0.2989649457456456,0.2967811596948733,0.11307494072396775
Arkansas,1980,2286435,0.4831486571890301,0.8220281792397335,0.1617609947363472,0.007424658912236736,0.008786167111682598,34.81814834010151,45.41952223476389,0.2936335386748366,0.26832251955555264,0.30137834664007507,0.13666559512953572
California,1980,23667902,0.4929243411604459,0.6697160990441823,0.0753799808702943,0.19187590011146743,0.06302801997405601,33.67400042471023,42.68373941138996,0.26994188162516475,0.3166843432087897,0.31136853617190063,0.1020052389941449
Colorado,1980,2889964,0.49630133800974685,0.8285328121734389,0.03451669294150377,0.11814507031921505,0.018805424565842343,32.149897368963764,41.044770177656495,0.27986957623001535,0.34177000128721324,0.2927797716511348,0.08558065083163666
Connecticut,1980,3107576,0.4820493529361792,0.8824434221399573,0.06820042373863101,0.0403066570214212,0.009049497099990474,35.3913537432391,44.58995113927386,0.26481057904939415,0.2819586713245308,0.33581962275419813,0.11741112687187699
Delaware,1980,594338,0.48221550700106675,0.8126840282802041,0.16030777099899385,0.01605147239449606,0.010956728326305907,33.65437764369769,43.024750843380254,0.2803034636856469,0.30018104176411403,0.3199442068318028,0.0995712877184363
District Of Columbia,1980,638333,0.46279449754281854,0.2613103192220988,0.6968275179255968,0.02784910070449123,0.014013062147813131,35.34251010052747,42.78515768669595,0.22479019571289593,0.34365135438713024,0.31518188782344014,0.11637656207653373
Florida,1980,9746324,0.4797322559767149,0.7671210191657901,0.13529511229054153,0.08804396406275843,0.00953990448090993,38.203877944135655,47.346034447373434,0.24210522859695616,0.2617721307028168,0.3229729485701481,0.173149692130079
Georgia,1980,5463105,0.4833231285139129,0.7167272091603585,0.26507929098928174,0.011161052185524533,0.007032447664835291,32.41129458430691,42.34089075773355,0.3013176572663348,0.30424676077066065,0.2998499937306715,0.09458558823233308
Hawaii,1980,964691,0.5127890692460073,0.3224535110206273,0.017586978628389816,0.07401230031170603,0.5859472100392769,31.92500085519612,41.063964574493404,0.2856697118559207,0.3337037455516844,0.3016893492320339,0.07893719336036098
Idaho,1980,943935,0.49913924157913414,0.9404153887714726,0.002828584595337603,0.03873148045151414,0.018024546181675646,31.677384035977052,42.701415412619454,0.32487936139670637,0.29497370051963323,0.28090281640155307,0.09924412168210735
Illinois,1980,11426518,0.48462156187913064,0.7820818205511075,0.14528257864731844,0.05553896646379938,0.01709663433777464,33.92414373302523,43.65381425092818,0.2838167322713709,0.2943213321853604,0.31142715567419577,0.11043477986907298
Indiana,1980,5490224,0.4855585127309924,0.902882651053946,0.0749545009456809,0.015758555570774525,0.006404292429598501,33.358123912612676,43.394857855536785,0.29476356520243985,0.2934350219590312,0.30517844080678674,0.10662297203174224
Iowa,1980,2913808,0.48609585806614575,0.9693250207288882,0.01434411601588025,0.009017066326950849,0.0073137969282807925,34.765575494335934,44.83006822530395,0.2834342551053467,0.28735832971836167,0.29619110112951846,0.13301631404677317
Kansas,1980,2363679,0.48946620924414863,0.905386052843893,0.05300762074714883,0.026507829531844215,0.015098496877114025,34.730533841524164,44.40433174466536,0.2745867776462032,0.29671837842617377,0.29912437348726284,0.12957047044036013
Kentucky,1980,3660777,0.48870472033669354,0.9177737403835305,0.07022498229201068,0.007401161010353813,0.004600116314104901,33.40115595678185,43.51319099302689,0.29576507938068886,0.2942929875269649,0.29799083637162277,0.1119510967207235
Louisiana,1980,4205900,0.4850077272403053,0.675695808269336,0.29111961767992584,0.023704557882973917,0.009480016167764331,31.831235288523263,42.28533538612633,0.31633372167669227,0.3033876221498371,0.28415677976176323,0.09612187641170736
Maine,1980,1124660,0.4856890082335995,0.9856240997279178,0.0029333309622463677,0.004740099229989508,0.006702470079846354,34.573552895986346,44.585740464325326,0.28576369747301406,0.28473672043106363,0.30420126971707007,0.12529831237885228
Maryland,1980,4216975,0.48442544715109764,0.7407255200706667,0.2252043230040491,0.01498609785450471,0.01908405907077941,33.60120631495325,42.73092120041516,0.276864339959331,0.3028756395283349,0.3264465641840419,0.0938134563282922
Massachusetts,1980,5737037,0.4760110489090449,0.9248612132011699,0.037058851110773734,0.024643382986722938,0.01343655270133346,35.4043413873747,44.37936508983085,0.2597837524840785,0.2997371291138614,0.31384040228431503,0.1266387161177451
Michigan,1980,9262078,0.48759997486525164,0.8427695167326382,0.12832465889404085,0.017018427182323447,0.011887397190997528,32.96362770859844,42.89449058477207,0.29712403631236967,0.2994052738489138,0.3049768097396718,0.09849388009904472
Minnesota,1980,4075970,0.49014737596204094,0.9622624798514219,0.012654901777981682,0.007879106077817059,0.017203512292779388,33.75009703211751,43.56892074202472,0.28749181176505223,0.30300443820734696,0.29184733940632535,0.11765641062127542
Mississippi,1980,2520638,0.4815756963118068,0.6363396886026474,0.3480888568687769,0.009592015989602633,0.005979438538973069,32.60718119777612,43.74431433609483,0.3230122691159936,0.2810113947341903,0.2811811930154191,0.11479514313439693
