state,year,inc_per_cap_act
Arkansas,1987,28854.736546755375
Arkansas,1988,29725.274351692507
Arkansas,1989,30467.19928723205
Arkansas,1990,31296.312535497942
Arkansas,1991,30984.29242458927
Arkansas,1992,32274.473680160496
Arkansas,1993,32228.15207966404
Arkansas,1994,32664.53275337517
Arkansas,1995,33254.26167987339
Arkansas,1996,33305.23172343328
Arkansas,1997,33534.2095102052
Arkansas,1998,34688.50216027254
Arkansas,1999,35147.22808549297
Arkansas,2000,35604.73429630351
Arkansas,2001,35956.45231456623
Arkansas,2002,36174.7853974327
Arkansas,2003,37046.89086194962
Arkansas,2004,38317.10641148294
Arkansas,2005,38828.75912252881
Arkansas,2006,39204.94948705197
Arkansas,2007,40532.833131388135
Arkansas,2008,39954.984519794045
Arkansas,2009,39023.0142481183
Arkansas,2010,38871.69939142789
Arkansas,2011,40535.532762971525
Arkansas,2012,42116.65866702744
Arkansas,2013,41416.719763887406
Arkansas,2014,43062.73723582526
Arkansas,2015,44570.47319127448
Arkansas,2016,44997.30505275401
Arkansas,2017,45276.926277907034
Arkansas,2018,46124.89846622452
Arkansas,2019,46813.09034540309
California,1980,40779.43243834397
California,1981,49544.16157332984
California,1982,47727.27944310039
California,1983,48649.296708803355
California,1984,50625.659576522754
California,1985,51883.92085816303
California,1986,51498.05867090837
California,1987,52878.33038957035
California,1988,54058.30251530442
California,1989,54646.500356472716
California,1990,104035.82957562302
California,1991,99857.6256566297
California,1992,101315.47645936844
California,1993,98024.1618027144
California,1994,97695.46835001206
California,1995,98552.15198215371
California,1996,101371.947771256
California,1997,103434.66922377035
California,1998,109665.72618108553
California,1999,113735.00332453671
California,2000,52172.27797714733
California,2001,51324.705300446694
California,2002,50976.89785273321
California,2003,51359.85229064509
California,2004,53138.3644619619
California,2005,54333.50725661138
California,2006,55983.915325705
California,2007,56825.60084515716
California,2008,54811.10437773264
California,2009,52530.45201463037
California,2010,53126.577155672414
California,2011,55277.81795294352
California,2012,56729.486781413994
California,2013,56350.05335403284
California,2014,58928.780079308875
California,2015,62979.79087420859
California,2016,64676.9249802813
California,2017,65811.66603036282
California,2018,67837.79357761322
California,2019,69879.0812985888
Colorado,1980,37649.48293761906
Colorado,1981,37610.20433533038
Colorado,1982,37111.55617351503
Colorado,1983,37713.79805367969
Colorado,1984,38979.53390755864
Colorado,1985,39413.93694750865
Colorado,1986,39031.57158170704
Colorado,1987,39658.71773921713
Colorado,1988,40273.7988927804
Colorado,1989,41356.67989951795
Colorado,1990,52908.57841490347
Colorado,1991,51687.619889150505
Colorado,1992,54090.96582221164
