GISJOIN,YEAR,STATE,STATEFP,STATENH,NAME,A08AA,A08AB,B57AA,B57AB,B57AC,B57AD,B57AE,B57AF,B57AG,B57AH,B57AI,B57AJ,B57AK,B57AL,B57AM,B57AN,B57AO,B57AP,B57AQ,B57AR,AE7AA,AE7AB,AE7AC,AE7AD,AE7AE,AE7AF,AE7AG,AE7AH,AE7AI,AE7AJ,AE7AK,AE7AL
"G390","1940","Ohio","39","390","Ohio",3461072,3446540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G400","1940","Oklahoma","40","400","Oklahoma",1181892,1154542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G410","1940","Oregon","41","410","Oregon",562689,526995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G420","1940","Pennsylvania","42","420","Pennsylvania",4951207,4948973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G440","1940","Rhode Island","44","440","Rhode Island",349404,363942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G450","1940","South Carolina","45","450","South Carolina",935239,964565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G460","1940","South Dakota","46","460","South Dakota",332514,310447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G470","1940","Tennessee","47","470","Tennessee",1445829,1470012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G480","1940","Texas","48","480","Texas",3221103,3193721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G490","1940","Utah","49","490","Utah",278620,271690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G500","1940","Vermont","50","500","Vermont",182224,177007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G510","1940","Virginia","51","510","Virginia",1349004,1328769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G530","1940","Washington","53","530","Washington",905757,830434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G540","1940","West Virginia","54","540","West Virginia",968582,933392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G550","1940","Wisconsin","55","550","Wisconsin",1600176,1537411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G560","1940","Wyoming","56","560","Wyoming",135055,115687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G010","1950","Alabama","01","010","Alabama",1502640,1559103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G025","1950","Alaska Territory",,"025","Alaska Territory",79472,49171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G040","1950","Arizona","04","040","Arizona",379059,370528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G050","1950","Arkansas","05","050","Arkansas",951534,957977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G060","1950","California","06","060","California",5295629,5290594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G080","1950","Colorado","08","080","Colorado",665149,659940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G090","1950","Connecticut","09","090","Connecticut",988497,1018783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G100","1950","Delaware","10","100","Delaware",157344,160741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G110","1950","District Of Columbia","11","110","District of Columbia",377918,424260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G120","1950","Florida","12","120","Florida",1366917,1404388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G130","1950","Georgia","13","130","Georgia",1688667,1755911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G155","1950","Hawaii Territory",,"155","Hawaii Territory",273895,225899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G160","1950","Idaho","16","160","Idaho",303237,285400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G170","1950","Illinois","17","170","Illinois",4319251,4392925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G180","1950","Indiana","18","180","Indiana",1958516,1975708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G190","1950","Iowa","19","190","Iowa",1310283,1310790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G200","1950","Kansas","20","200","Kansas",953534,951765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G210","1950","Kentucky","21","210","Kentucky",1474987,1469819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G220","1950","Louisiana","22","220","Louisianna",1319166,1364350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G230","1950","Maine","23","230","Maine",454145,459629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G240","1950","Maryland","24","240","Maryland",1166603,1176398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G250","1950","Massachusetts","25","250","Massachusetts",2270367,2420147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G260","1950","Michigan","26","260","Michigan",3212119,3159647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G270","1950","Minnesota","27","270","Minnesota",1501208,1481275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G280","1950","Mississippi","28","280","Mississippi",1076791,1102123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G290","1950","Missouri","29","290","Missouri",1940863,2013790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G300","1950","Montana","30","300","Montana",309423,281601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G310","1950","Nebraska","31","310","Nebraska",667332,658178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G320","1950","Nevada","32","320","Nevada",85017,75066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G330","1950","New Hampshire","33","330","New Hampshire",262424,270818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G340","1950","New Jersey","34","340","New Jersey",2382744,2452585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G350","1950","New Mexico","35","350","New Mexico",347544,333643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G360","1950","New York","36","360","New York",7239944,7590248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G370","1950","North Carolina","37","370","North Carolina",2017105,2044824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G380","1950","North Dakota","38","380","North Dakota",322944,296692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G390","1950","Ohio","39","390","Ohio",3928534,4018093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G400","1950","Oklahoma","40","400","Oklahoma",1115555,1117796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G410","1950","Oregon","41","410","Oregon",772776,748565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G420","1950","Pennsylvania","42","420","Pennsylvania",5170411,5327601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G440","1950","Rhode Island","44","440","Rhode Island",390583,401313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G450","1950","South Carolina","45","450","South Carolina",1040540,1076487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G460","1950","South Dakota","46","460","South Dakota",337251,315489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G470","1950","Tennessee","47","470","Tennessee",1623107,1668611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G480","1950","Texas","48","480","Texas",3863142,3848052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G490","1950","Utah","49","490","Utah",347636,341226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G500","1950","Vermont","50","500","Vermont",187754,189993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G510","1950","Virginia","51","510","Virginia",1675216,1643464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G530","1950","Washington","53","530","Washington",1223851,1155112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G540","1950","West Virginia","54","540","West Virginia",1006287,999265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G550","1950","Wisconsin","55","550","Wisconsin",1726842,1707733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G560","1950","Wyoming","56","560","Wyoming",154853,135676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G010","1960","Alabama","01","010","Alabama",1591709,1675031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G020","1960","Alaska","02","020","Alaska",128811,97356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G040","1960","Arizona","04","040","Arizona",654928,647233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G050","1960","Arkansas","05","050","Arkansas",878987,907285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G060","1960","California","06","060","California",7836707,7880497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G080","1960","Colorado","08","080","Colorado",870467,883480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G090","1960","Connecticut","09","090","Connecticut",1244229,1291005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G100","1960","Delaware","10","100","Delaware",221136,225156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G110","1960","District Of Columbia","11","110","District of Columbia",358171,405785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G120","1960","Florida","12","120","Florida",2436783,2514777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G130","1960","Georgia","13","130","Georgia",1925913,2017203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G150","1960","Hawaii","15","150","Hawaii",338173,294599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G160","1960","Idaho","16","160","Idaho",338421,328770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G170","1960","Illinois","17","170","Illinois",4952866,5128292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G180","1960","Indiana","18","180","Indiana",2298738,2363760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G190","1960","Iowa","19","190","Iowa",1359047,1398490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G200","1960","Kansas","20","200","Kansas",1081377,1097234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G210","1960","Kentucky","21","210","Kentucky",1508448,1529708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G220","1960","Louisiana","22","220","Louisianna",1592254,1664768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G230","1960","Maine","23","230","Maine",479054,490211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G240","1960","Maryland","24","240","Maryland",1533200,1567489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G250","1960","Massachusetts","25","250","Massachusetts",2486235,2662343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G260","1960","Michigan","26","260","Michigan",3882868,3940326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G270","1960","Minnesota","27","270","Minnesota",1692962,1720902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G280","1960","Mississippi","28","280","Mississippi",1067933,1110208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G290","1960","Missouri","29","290","Missouri",2108279,2211534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G300","1960","Montana","30","300","Montana",343743,331024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G310","1960","Nebraska","31","310","Nebraska",700026,711304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G320","1960","Nevada","32","320","Nevada",147521,137757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G330","1960","New Hampshire","33","330","New Hampshire",298107,308814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G340","1960","New Jersey","34","340","New Jersey",2971991,3094791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G350","1960","New Mexico","35","350","New Mexico",479770,471253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G360","1960","New York","36","360","New York",8123239,8659066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G370","1960","North Carolina","37","370","North Carolina",2247069,2309086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G380","1960","North Dakota","38","380","North Dakota",323208,309238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G390","1960","Ohio","39","390","Ohio",4764228,4942169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G400","1960","Oklahoma","40","400","Oklahoma",1147851,1180433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G410","1960","Oregon","41","410","Oregon",879951,888736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G420","1960","Pennsylvania","42","420","Pennsylvania",5509851,5809515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G440","1960","Rhode Island","44","440","Rhode Island",421845,437643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G450","1960","South Carolina","45","450","South Carolina",1175818,1206776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G460","1960","South Dakota","46","460","South Dakota",344271,336243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G470","1960","Tennessee","47","470","Tennessee",1740690,1826399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G480","1960","Texas","48","480","Texas",4744981,4834696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G490","1960","Utah","49","490","Utah",444924,445703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G500","1960","Vermont","50","500","Vermont",191743,198138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G510","1960","Virginia","51","510","Virginia",1979372,1987577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G530","1960","Washington","53","530","Washington",1435037,1418177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G540","1960","West Virginia","54","540","West Virginia",915035,945386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G550","1960","Wisconsin","55","550","Wisconsin",1964512,1987265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G560","1960","Wyoming","56","560","Wyoming",169015,161051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G010","1970","Alabama","01","010","Alabama",1661941,1782224,301031,347305,371822,213362,128389,61297,57045,156202,216947,191048,382941,372973,168516,63333,85993,207904,93639,24418,,,,,,,,,,,,
"G020","1970","Alaska","02","020","Alaska",163258,137124,32075,36709,34248,16827,9941,7244,8411,19921,26711,22588,38021,26939,8550,2449,2861,4704,1508,675,,,,,,,,,,,,
"G040","1970","Arizona","04","040","Arizona",871006,899894,158675,185514,193342,106444,64924,31561,30394,84600,116393,100450,195323,189873,79678,30329,41926,107740,44233,9501,,,,,,,,,,,,
"G050","1970","Arkansas","05","050","Arkansas",932310,990985,158050,186652,196133,114175,68017,30770,30035,82234,115788,98984,197701,208012,101588,40206,57190,146615,72336,18809,,,,,,,,,,,,
"G060","1970","California","06","060","California",9816685,10136449,1642683,1918127,1963681,1111481,705898,359833,349557,1031576,1457614,1219389,2358549,2329755,933244,332347,438423,1105236,553050,142691,,,,,,,,,,,,
"G080","1970","Colorado","08","080","Colorado",1089377,1117882,186368,224171,233679,129793,87658,44014,44673,115821,157420,133784,255624,234200,93164,33901,45098,111442,60207,16242,,,,,,,,,,,,
"G090","1970","Connecticut","09","090","Connecticut",1470487,1561222,253262,295966,304211,167520,96533,46314,44931,138549,206011,168754,355947,381691,157029,54950,71133,174810,91676,22422,,,,,,,,,,,,
"G100","1970","Delaware","10","100","Delaware",267332,280772,48472,57682,59228,31719,19613,8855,8780,26150,38193,32247,65532,63422,24396,8635,11347,27182,13298,3353,,,,,,,,,,,,
"G110","1970","District Of Columbia","11","110","District Of Columbia",351491,405019,59735,64222,64424,35725,29884,16433,16430,46775,64900,47625,84974,83676,37994,13968,18942,44849,20399,5555,,,,,,,,,,,,
"G120","1970","Florida","12","120","Florida",3275571,3513872,501179,605714,643014,359134,217642,105736,100813,289968,403096,358665,746867,761987,347337,143497,215428,646681,285116,57569,,,,,,,,,,,,
"G130","1970","Georgia","13","130","Georgia",2230696,2358879,421709,470311,480924,271344,171227,88770,84010,244169,330790,273995,517074,485103,207126,76621,98944,235106,105226,27126,,,,,,,,,,,,
"G150","1970","Hawaii","15","150","Hawaii",399205,369356,70811,79836,79812,44170,27673,16703,18168,46684,59459,47633,95529,84252,30343,10484,12888,29489,11614,3013,,,,,,,,,,,,
"G160","1970","Idaho","16","160","Idaho",355750,356817,63840,72961,79497,46930,27135,11807,10867,30652,44360,38609,74933,77854,35159,13130,17057,40236,21866,5674,,,,,,,,,,,,
"G170","1970","Illinois","17","170","Illinois",5391836,5722140,936950,1098592,1134688,625393,385669,175929,165279,502436,747420,636444,1268932,1296554,568193,205224,272619,672286,340187,81181,,,,,,,,,,,,
"G180","1970","Indiana","18","180","Indiana",2531170,2662499,455676,529024,545903,309690,192550,88801,83833,242090,345862,293609,582399,578857,243982,88726,118858,298723,155165,39921,,,,,,,,,,,,
"G190","1970","Iowa","19","190","Iowa",1372867,1451509,233212,280101,293440,168184,105291,45197,41990,116504,167505,147263,296896,310852,140549,53945,73154,200561,118090,31642,,,,,,,,,,,,
"G200","1970","Kansas","20","200","Kansas",1101573,1145005,175049,212731,227198,131376,85836,41938,41270,105214,139029,118237,243772,247172,110211,42291,59053,154418,87884,23899,,,,,,,,,,,,
"G210","1970","Kentucky","21","210","Kentucky",1579036,1639670,271099,317243,333392,192308,126448,59574,55198,150510,204197,176793,350340,349053,155644,58773,80706,207107,103733,26588,,,,,,,,,,,,
"G220","1970","Louisiana","22","220","Louisiana",1771484,1869822,348323,397447,410669,231318,144640,68133,60685,170491,233630,198964,393546,373121,161508,60231,81893,199721,84631,22355,,,,,,,,,,,,
"G230","1970","Maine","23","230","Maine",482865,509183,84622,99402,101957,57866,35495,16768,15888,42374,58502,51208,109027,109720,49095,19216,26316,68687,36071,9834,,,,,,,,,,,,
"G240","1970","Maryland","24","240","Maryland",1916321,2006078,344267,404492,409928,222805,133334,64719,64184,196552,286425,238005,471887,463893,178469,62126,81631,191994,86550,21138,,,,,,,,,,,,
"G250","1970","Massachusetts","25","250","Massachusetts",2719398,2969772,470066,542364,555393,307941,206615,98801,94621,270983,371597,295250,627682,668757,290128,108569,144218,381011,203724,51450,,,,,,,,,,,,
"G260","1970","Michigan","26","260","Michigan",4348648,4526435,804463,923818,979265,543824,328800,147268,141907,413567,593598,488765,1002322,1007008,411253,144657,191613,466622,231850,54483,,,,,,,,,,,,
"G270","1970","Minnesota","27","270","Minnesota",1863810,1941161,331771,402635,415021,232060,141345,62354,58893,170790,249516,206769,395573,396860,177011,66161,89293,240406,134773,33740,,,,,,,,,,,,
"G280","1970","Mississippi","28","280","Mississippi",1074217,1142695,209606,237772,252427,143962,89009,41171,36149,96012,128157,114489,223597,219439,104786,41276,56740,141404,63599,17317,,,,,,,,,,,,
"G290","1970","Missouri","29","290","Missouri",2255952,2420549,371072,448601,470754,262445,167208,76262,70922,207513,298326,251998,509814,518134,239820,92993,129983,337192,177594,45870,,,,,,,,,,,,
"G300","1970","Montana","30","300","Montana",347005,347404,57054,72258,78618,45195,25151,11297,10934,29291,42202,37677,74998,77837,34726,12348,16087,38826,23694,6216,,,,,,,,,,,,
"G310","1970","Nebraska","31","310","Nebraska",724455,759038,120222,147228,152969,87072,56103,25754,23928,65005,89053,77931,159081,156963,71788,28289,38581,105221,61964,16341,,,,,,,,,,,,
"G320","1970","Nevada","32","320","Nevada",247798,240940,43844,50652,49560,26093,14092,7416,7824,23835,37482,34120,62483,58822,23671,7983,9893,21091,7990,1887,,,,,,,,,,,,
"G330","1970","New Hampshire","33","330","New Hampshire",360672,377009,65356,74921,73999,39935,27329,12829,12302,33391,48435,40835,81436,81316,35325,13529,18331,47583,24386,6443,,,,,,,,,,,,
"G340","1970","New Jersey","34","340","New Jersey",3467373,3700791,589226,692648,710409,392562,219269,103383,99119,306696,463164,403475,879421,917081,380677,136379,177666,439869,209210,47910,,,,,,,,,,,,
"G350","1970","New Mexico","35","350","New Mexico",500824,515176,96659,119216,122820,67521,37643,17676,17305,47714,65157,59569,116064,101770,41728,14934,19613,44988,20607,5016,,,,,,,,,,,,
"G360","1970","New York","36","360","New York",8715339,9521628,1486743,1679035,1711644,963853,599326,285914,273425,823037,1226209,1038364,2152492,2194389,979622,370825,491337,1244433,582416,133903,,,,,,,,,,,,
"G370","1970","North Carolina","37","370","North Carolina",2488367,2593692,437145,494799,520719,306379,213135,106116,99015,258941,346705,297201,589087,562048,237113,87039,112497,268542,116929,28649,,,,,,,,,,,,
"G380","1970","North Dakota","38","380","North Dakota",311609,306152,51338,64220,70334,40458,24311,11337,10643,26787,34603,30849,64198,63947,30923,11730,15715,39164,21536,5668,,,,,,,,,,,,
"G390","1970","Ohio","39","390","Ohio",5163373,5488644,921030,1059474,1127185,630608,381613,175162,167832,490375,691686,600136,1222941,1245079,512314,183652,245236,604580,314990,78124,,,,,,,,,,,,
"G400","1970","Oklahoma","40","400","Oklahoma",1246355,1312874,197269,237875,253367,148231,93304,44891,43073,119486,162855,139613,283055,282306,131623,50521,72004,182761,92408,24587,,,,,,,,,,,,
"G410","1970","Oregon","41","410","Oregon",1023952,1067433,164060,194345,211284,127994,75368,34160,32777,95701,138978,115599,225782,243391,110739,40443,53965,135922,72163,18714,,,,,,,,,,,,
"G420","1970","Pennsylvania","42","420","Pennsylvania",5665414,6128495,926187,1082755,1168554,670606,404824,182041,172886,497498,705823,609374,1367787,1515325,658686,239895,319542,790115,390427,91584,,,,,,,,,,,,
"G440","1970","Rhode Island","44","440","Rhode Island",464291,482434,76035,85874,88289,49831,35849,19971,19540,48452,59319,47276,103702,115155,50268,18460,24772,63916,32298,7718,,,,,,,,,,,,
"G450","1970","South Carolina","45","450","South Carolina",1272087,1318429,235764,269242,282703,167454,113427,54627,49684,133891,174904,145341,286000,277119,114088,42075,53237,125224,52786,12950,,,,,,,,,,,,
"G460","1970","South Dakota","46","460","South Dakota",330033,335474,54258,68635,74505,43522,26467,11749,10619,26278,35367,31705,68821,71436,32405,12381,16875,46837,26938,6709,,,,,,,,,,,,
"G470","1970","Tennessee","47","470","Tennessee",1897674,2026013,324733,376310,395738,228946,149008,70218,65315,185644,263668,227573,446580,439066,194376,73963,98624,242166,112897,28862,,,,,,,,,,,,
"G480","1970","Texas","48","480","Texas",5481169,5715561,1000509,1145250,1182709,671368,421384,206062,195869,556576,762641,644455,1277585,1183498,510476,190268,256021,627758,290626,73675,,,,,,,,,,,,
"G490","1970","Utah","49","490","Utah",523265,536008,111798,117179,123572,71301,45306,19768,20526,57565,72167,57794,107548,100983,41226,15111,19868,48175,23389,5997,,,,,,,,,,,,
"G500","1970","Vermont","50","500","Vermont",217166,227164,39658,45905,45652,25551,18846,8148,7761,20100,28924,23748,46682,46293,20599,8091,10884,28370,14903,4215,,,,,,,,,,,,
"G510","1970","Virginia","51","510","Virginia",2297121,2351373,392093,456958,474282,265947,174925,93591,91674,254553,335045,280402,549962,530388,210620,74752,97281,233154,106122,26745,,,,,,,,,,,,
"G530","1970","Washington","53","530","Washington",1693747,1715422,280442,328397,348892,202043,127860,63821,60634,171509,238704,193398,373848,392654,166878,59964,78064,191343,102999,27719,,,,,,,,,,,,
"G540","1970","West Virginia","54","540","West Virginia",844669,899568,138249,158638,176871,106479,65907,29060,27106,72487,98212,90105,194910,210766,96269,35777,48927,120923,58538,15013,,,,,,,,,,,,
"G550","1970","Wisconsin","55","550","Wisconsin",2167373,2250358,382227,461184,474178,266054,167099,73971,68508,194619,272746,233701,470246,475931,215918,79518,108966,284070,151207,37588,,,,,,,,,,,,
"G560","1970","Wyoming","56","560","Wyoming",166775,165641,28372,33857,36565,21230,11999,5316,5006,14485,21498,18630,38294,37237,16197,5817,7709,18299,9703,2202,,,,,,,,,,,,
"G010","1980","Alabama","01","010","ALABAMA",1871534,2022354,296412,314150,328096,223590,153816,76093,73269,211825,315460,283292,429714,388995,190062,72355,96744,278382,127614,34019,2854919,984064,9087,10229,1666,,18370,12219,217,431,2686,
"G020","1980","Alaska","02","020","ALASKA",213041,188810,38949,35043,34282,22471,14683,8404,8728,27958,48645,42163,54022,34243,12617,3672,4424,8312,2616,619,306899,13533,63796,7696,870,,5069,215,561,618,2594,
"G040","1980","Arizona","04","040","ARIZONA",1337942,1380273,213883,211067,219573,146964,105053,54602,53076,156105,236051,207764,297988,251820,132507,50179,74221,202120,85364,19878,2028725,72410,146461,22888,3629,,231563,1749,7929,1674,201187,
"G050","1980","Arkansas","05","050","ARKANSAS",1104688,1181747,175592,180365,185491,129926,84396,40940,39250,113579,174313,161024,247415,217759,113577,45590,64741,192447,93676,26354,1879514,369856,12496,6992,601,,10421,3169,261,240,2885,
"G060","1980","California","06","060","CALIFORNIA",11666485,12001417,1708400,1650348,1796019,1234191,896274,468066,464384,1423515,2232964,2010051,2814938,2359934,1202140,422068,570360,1470978,725255,218017,15850775,1784086,189700,1242157,59884,,2370578,34574,42002,70816,2023330,
"G080","1980","Colorado","08","080","COLORADO",1434293,1455671,216495,213135,226147,153036,115552,60376,59490,182740,302601,266944,346953,270860,125711,43690,58909,148666,74296,24363,2394430,99752,17394,32747,4206,,196840,1943,3621,1510,137521,
"G090","1980","Connecticut","09","090","CONNECTICUT",1498005,1609571,185188,205758,256283,175690,112693,55230,55542,161610,249260,241873,369302,338901,178712,65989,90681,219717,109418,35729,2742260,211938,4570,20403,3149,,68832,4703,312,713,50696,
"G100","1980","Delaware","10","100","DELAWARE",286599,307739,41151,42076,48870,34498,25250,12452,12274,33397,49622,45414,68268,63210,31847,11556,15274,36630,17280,5269,483009,95277,1332,4433,747,,4993,880,59,194,3414,
"G110","1980","District Of Columbia","11","110","DISTRICT OF COLUMBIA",295417,342916,34365,36618,42133,30375,27249,13938,13997,41628,66343,56209,74265,63341,34093,12537,16955,46230,21672,6385,166803,444808,954,6415,1576,,7902,3562,60,468,5785,
"G120","1980","Florida","12","120","FLORIDA",4675626,5070698,570224,621534,685016,482862,328478,165674,161056,484697,739848,671563,1038778,989160,555209,223364,341288,1059153,511078,117342,7476610,1318630,23193,57660,12126,,708245,24504,1813,4854,118689,
"G130","1980","Georgia","13","130","GEORGIA",2640445,2822660,414935,446831,469598,314766,216007,106612,102653,306819,481276,448765,647332,528004,246907,93355,122514,330874,146423,39434,3915556,1448156,9720,24631,4068,,34027,16279,359,1378,8931,
"G150","1980","Hawaii","15","150","HAWAII",494683,470008,77848,73057,74870,49808,36638,21909,21796,61977,95287,84314,111416,94444,47383,16362,21432,49375,21214,5561,311068,16966,2605,555845,6808,,20857,721,371,34814,14636,
"G160","1980","Idaho","16","160","IDAHO",471155,472780,93531,82734,79218,51182,36800,17685,17202,51347,82461,72941,104326,81449,41182,15820,22377,58292,26912,8476,887691,2670,9926,6403,685,,16354,41,597,318,19250,
"G170","1980","Illinois","17","170","ILLINOIS",5537537,5888981,842241,849613,919385,631798,435197,218741,213348,640919,985619,869244,1293695,1161441,593160,214369,295863,761483,385720,114682,8936472,1660074,17329,166401,11625,,331135,14393,2283,5812,280994,
"G180","1980","Indiana","18","180","INDIANA",2665825,2824399,418764,433053,454828,311673,217955,108520,106682,303459,462851,411557,613583,550112,278021,97925,135857,350459,180515,54410,4957028,411517,9354,23407,2400,,51789,2972,337,948,30472,
"G190","1980","Iowa","19","190","IOWA",1416390,1497418,221628,211041,231700,161504,116129,57650,55065,159309,243200,205954,302697,281422,145854,54915,78156,214854,127790,44940,2824427,41796,6035,13487,1789,,16899,432,307,360,8276,
